speed_kmh,tl_id,distance_m,offset_ideal_s,att_no_wave_s,att_green_wave_s,improvement_pct
30,TL_Norte,0,0,44.43,44.94,-1.1
30,TL_Centro_N,210,25,56.43,48.43,14.2
30,TL_Centro_S,480,57,69.48,53.98,22.3
30,TL_Sur,650,78,77.02,58.7,23.8
40,TL_Norte,0,0,41.71,43.14,-3.4
40,TL_Centro_N,210,18,52.98,46.1,13.0
40,TL_Centro_S,480,43,67.68,55.2,18.4
40,TL_Sur,650,58,76.77,57.94,24.5
50,TL_Norte,0,0,46.33,46.29,0.1
50,TL_Centro_N,210,15,55.1,50.52,8.3
50,TL_Centro_S,480,34,68.84,53.3,22.6
50,TL_Sur,650,46,76.31,55.92,26.7
60,TL_Norte,0,0,43.37,44.27,-2.1
60,TL_Centro_N,210,12,56.41,50.96,9.6
60,TL_Centro_S,480,28,66.63,54.77,17.8
60,TL_Sur,650,39,75.64,58.27,23.0
70,TL_Norte,0,0,44.5,42.5,4.5
70,TL_Centro_N,210,10,56.59,48.17,14.9
70,TL_Centro_S,480,24,67.9,53.02,21.9
70,TL_Sur,650,33,76.22,58.21,23.6
